,name,category_1,category_2,origin,description
0,Piul Bothen Cabernet Sauvignon 2014,Red Wine,Cabernet Sauvignon,California,"The 2014 vintage of Bothen Cabernet Sauvignon is a great match for grilled steak, rack of lamb, grilled steak, or roasted eggplant.  The wine will also pair well with grilled and lightly grilled tuna, and chicken-based pasta dishes with tomato sauce."
1,Seacuscini Resantzass 2015,Red Wine,Other Red Blends,"Sicily, Italy","A wine of deep ruby red in color. The aromas are delicate, with notes of blackberry, blueberry, currant and sweet violet. The taste is round and soft, with fruity notes and well-balanced acidity.  The mouthfeel is full, warm and pleasant with pleasant tannins."
2,Alpanena Vriestioge 2016,Red Wine,Other Red Blends,"Sicily, Italy","Vibrant ruby color with violet tones. Very intense aromas with notes of red fruit, plum and blackberry. This is an approachable wine with well-balanced and pleasant tannins. Fresh and lively.  Its freshness and pleasantness make it an excellent match for dishes with red and black fruit."
3,Sanmedarbecer Edena Cabernet,Red Wine,Bordeaux Red Blends,Chile,"A wine with a deep garnet red color.  The nose is expressive and intense with ripe fruit and violet aromas, plus balsamic notes.  The palate is full and soft, with well-balanced tannins and fresh acidity., Winemaker, Eliane Altegueda"
6,ERitajas Katiano 1999,Red Wine,Other Red Blends,Chile,"Vibrant, vibrant color with intense and lively hues. Intense, delicate aromas, very clean, clear and crisp. Notes of red and black fruits, blackberries and currants, combined with floral and spicy tones. Intense, soft and sweet, with fresh, silky and pleasant tannins, good acidity and long, fresh finish. Ideal as an aperitif, as well as pairing well with seafood, white meats, roasted vegetables and lighter fish dishes. Serve at room temperature.  Serve at room temperature. Serve at room temperature."
7,Tantorulta Pichandine Chardonnay 2002,White Wine,Chardonnay,Chile,"Vibrant straw yellow in color, this wine presents itself with delicate aromas of tropical fruits and hazelnuts, along with an attractive floral component.  On the palate, it is smooth and well-balanced with a lingering finish.  Enjoy it as an aperitif or with seafood, veal, or fish."
9,Loseis Hill Yubrbell Cabernet Sauvignon 2000,Red Wine,Cabernet Sauvignon,"Napa Valley, California",Aromas of raspberry and cherry are highlighted by an aroma of cedar. Flavors mirror aromas with flavors of cherry and vanilla. The mouth feel is soft and supple with well-balanced acidity and well-integrated tannins. The finish is long and pleasant.
10,Gigma Filt Oldra-Seliebluna Syrah 2012,Red Wine,Syrah/Shiraz,"Rheingau, Germany","This is a full-bodied, powerful and well-rounded wine with ripe and intense fruit flavors. It is very easy to drink now and will cellar well for the next 2-3 years. It is an excellent companion for grilled, smoked or marinated beef and lamb."
11,Grapurosso Cabernet Sauvigoz 2015,Red Wine,Cabernet Sauvignon,"Colchagua Valley, Rapel Valley, Chile","This wine is a very well-balanced, complex, and persistent wine. It is very fresh with fresh red fruits, spices, vanilla, and sweet tones of oak. It is very well-balanced with fresh red fruits, spices, vanilla, and sweet tones of oak. The wine is very fresh with fresh red fruits, spices, and sweet tones of oak. It is very fresh with fresh red fruits, spices, and sweet tones of oak. The wine is very fresh with fresh red fruits, spices, and sweet tones of oak. The wine is very fresh with fresh red fruits, spices, and sweet tones of oak. The wine is very fresh with fresh red fruits, spices, and sweet tones of oak. The wine is very fresh with fresh red fruits, spices, and sweet tones of oak. The wine is very fresh with fresh red fruits, spices, and sweet tones of oak. The wine is well-balanced with fresh red fruits, spices, and sweet tones of oak. The wine is well-balanced with fresh red fruits, spices, sweet tones of oak, and sweet tannins. It is a very good match for grilled meats, roasted or grilled vegetables, game, and cheese."
13,Junzos Proos Toso Suttenleve 2014,Red Wine,Other Red Blends,Chile,"The Junzos Proo is a deep ruby-red wine with aromas of red fruits, cherries and berries, with a touch of spices. It has a medium body with a soft tannins, good acidity, good concentration and a long finish. This is an easy-drinking wine that can be paired with simple foods such as pasta, pizza, pizza with pizza sauces, grilled vegetables, rice dishes, and fresh chees Drain.  Serve well-chilled and enjoy with friends and family bleedings. Serve at room temperature. It is also delicious with Asian foods such as Indian, Thai, Chinese and Asian spices.  Serve at about 64° F (16° C) or slightly chilled."
14,Lyano Bavia Selecanola 1999,Red Wine,Other Red Blends,Italy,"Intense ruby red color with shades of purple.  The bouquet is elegant and delicate with hints of vanilla and blackberries.  Well-balanced and round, with a smooth and well-structured palate.  This wine is a great match for grilled fish, roasted meat dishes, white meats, veal, veal, chicken, veal in cream sauce and roasted vegetables."
15,Ctos du Chella Le Gradet) Reservo Sppo 2003,Red Wine,Bordeaux Red Blends,Chile,"Le Gradet is a blend of 70% Merlot, 25% Cabernet Sauvignon, 10% Cabernet Franc, 5% Cabernet Sauvignon from vineyards in the Maipo Valley of Chile. It has a deep, ruby red color and is an elegant wine with a complex nose, blackberries, spices, and a hint of pepper. It is well-balanced and a good companion for grilled meats, stews, cheeses, and pasta dishes with red sauces."
16,Contalica di Nomivora Vieilla Senilo Nicelto 2008,Red Wine,Other Red Blends,Italy,"The color is a deep ruby red.  On the nose, the wine is full of aromas of ripe fruit, like cherries, strawberries and raspberries, and spices like vanilla and black pepper.  In the mouth, the wine is fresh and balanced, with good structure and a long, lingering finish.  The nose provides an excellent match for pasta dishes, particularly with red sauces, poultry, veal, meat, pasta with sauces and aged cheeses."
17,Dolaa Sanno Sigcapha Labiarg Caseleca Dareno 2011,Red Wine,Other Red Blends,"Sicily, Italy","The wine is deep, intense ruby red in color. On the nose it is very fresh, with an abundance of red fruits. On the palate it is well-balanced with a good acidity, soft and round with a pleasant finish.  wine"
19,Paguero Temrra 2013,Red Wine,Tempranillo,"Ribera del Duero, Spain","This wine is a great wine to pair with red meats, pasta dishes with red sauce sauces, pizza, grilled fish and cheese. Serve slightly chilled.  with vegetables, such as vegetables, roasted vegetables and cheese, pizza with vegetable sauces, cheeses with meat and cream sauces, and pasta dishes with cheese sauce."
20,Rebeid Oldbello 2010,Red Wine,Bordeaux Red Blends,"Napa Valley, California","The 2010 vintage was the first year that we blended two varietals to create a Oldbello, combining the character of Cabernet Sauvignon and Merlot.  The blend Philosophy is to make a wine that reflects the flavors and aromas of the two varietals while preserving the wine's complexity and structure.  The result is a wine that is full of ripe flavors of black cherry, plum and currants, with a hint of spice and an elegant, well-balanced acidity.  The palate is rich and round with flavors of ripe fruit, leather, cedar and mineral flavors.  The mouthfeel is round and soft with round, sweet tannins, and is well-balanced from start to finish.   The finish is long, sweet and toasty, with lingering flavors of oak and spice."
22,Capperots Beaujaly Arbent 2011,Red Wine,Pinot Noir,"Willamette Valley, Oregon","An exotic nose of cherry, blackberry, and coffee. The mouth is generous with flavors of ripe cherries and blueberries with undertones of coffee and leather. The tannins are sweet and juicy, yet well-integrated and nicely balanced with the mouthwatering acidity. The finish is long with a hint of oak, sweet toasty vanilla, and lingering flavors of spice."
24,Gefinato-Saldo Querto 2018,Red Wine,Other Red Blends,"Sicily, Italy","Querto is a wine with great intensity. A blend of 60% Chianti, 40% Cabernet Sauvignon and 10% Cabernet Franc. A wine that combines rich flavors with freshness. Fresh and fruity with a touch of herbal aromas."
26,Amoneto Chable-Caberret Sauvignon 2012,White Wine,Sauvignon Blanc,"Loire, France","The wine is rich and smooth, with mineral, lemon and flinty aromas. It has an excellent balance between the body and acidity. The mouthfeel is rich and round, with nice balance between fruit sweetness and a minerally finish.  The wine is very food-friendly and pairs well with grilled and seafood, shellfish with butter, chicken, veal and roasted vegetables."
27,Seprin Cellars Wine Lan Casettarp Sainta Doou Cabernet Sauvignon 2012,Red Wine,Cabernet Sauvignon,"Napa Valley, California",The 2012 vintage of the Sainta Doou Cabernet Sauvignon is a wine of exquisite intensity and finesse. harrowing																																																																																														alid																																												Howard    Enjoy
28,Dancofa Cabernet Mougnoine Cuvee Bacher' Rouge Rose (Villfles 2014,Pink and Rosé,Rosé,"Clare Valley, South Australia, Australia","The color is a vibrant light-salmon with a lively and vibrant pink. The aromas show vibrant notes of fresh red fruits, watermelon, strawberry and candied pineapple with light floral and fresh herb notes. The mouthfeel is soft and supple with flavours of ripe red and black fruits, complemented by a fresh acidity. The wine is well-balanced between sweetness and refreshing acidity."
