,name,category_1,category_2,origin,description
0,Piul Bothen Cabernet Sauvignon 2014, Red Wine , Cabernet Sauvignon ,"  from North Coast, California "," The color of this wine is deep purple with aromas of ripe cherries, raspberries and plums with a hint of vanilla. On the palate, the wine is full and soft with layers of red fruit flavors and a hint of spice. The finish is long and smooth. "
1,Seacuscini Resantzass 2015, Red Wine , Other Red Blends ,"  from Tuscany, Italy "," The perfect wine for the holidays, this wine is a perfect partner to pasta, pizza, ham, beef and spicy dishes.   , fruit salad, barbeque, grilled steak, lamb chops, hearty soups, and risotto dishes. "
2,Alpanena Vriestioge 2016, Red Wine , Tempranillo ,  from Spain ," The wine is very approachable and fruit-forward, with a polished profile. It is an ideal wine to drink on a warm, sunny summer day, and a great match for richly-flavored fare., [category_2] Aged 18 months in new French oak barrels. The wine has a deep purple color. On the nose, the wine shows complex, ripe fruit notes, with a hint of spice. On the palate, the wine is soft, smooth and round, with a long, silky finish."
3,Sanmedarbecer Edena Cabernet, Red Wine , Cabernet Sauvignon ,  from Spain ," The grapes for this wine come from a selection of the oldest and most traditional vineyards in the region of Madrid, including the oldest vines in the Ebro River Valley. Extended maceration enhances color, flavor and mouthfeel, and aging for 18 months in French oak barrels adds complexity and structure to this wine. This Cabernet Sauvignon is elegant, with ripe, soft tannins and a long, smooth finish."
4,Sauvignon 2001, White Wine , Sauvignon Blanc ,"  from North Coast, California "," Sauvignon Blanc grapes from the North Coast vineyards are hand-picked at optimal maturity to maximize fruit flavor.  Our cool-climate vineyards in the North Coast AVA are the foundation for the wine.  The grapes are pressed in early morning to cool-climate vineyards in the coastal foothills.  The wine is barrel fermented, aged six months in stainless steel tanks and six months in stainless steel tanks.  The wine is then aged for a minimum of three months in French oak barrels."
5,Favilley Sonneres Sonomon Stazizas-Santehine 2008, Red Wine , Bordeaux Red Blends ,"  from Sonoma County, California "," The bouquet of this wine is filled with red fruit aromas, spice and the signature of this region, the mint.  The wine is full-bodied and loaded with layers of flavor.  Flavors of red and black currants and plums, mocha and earth are accompanied by a long, smooth finish. "
6,ERitajas Katiano 1999, Red Wine , Other Red Blends ,  from Spain ," Cherry and raspberry fruit aromas dominate the nose, with some tropical notes.  Light to medium bodied, with soft tannins and a long finish.  Made from mostly Monastrell (Tempranillo), with a little Cabernet Sauvignon in the mix. "
7,Tantorulta Pichandine Chardonnay 2002, White Wine , Chardonnay ,  from Spain ," It is a rich, full-bodied white wine with tropical fruit flavors, soft vanillins and a long finish.  and make wines from old vines that are best enjoyed while still very young.  This is the oldest estate plantings of Chardonnay in the world and only the oldest estates yield the most complex and unique wines.  The vines are primarily Garnacha, a grape that originated in Spain's south of France and has become a principal component of our Estate blend.  Our Estate Bottled Russian River Chardonnay has intense varietal character, showing soft pear and apple fruit with mineral notes and a full, rich texture.  The majority of the blend is from our best southern vineyards, with a balance from the best of our estate fruit and from other prime vineyards throughout the region.  Our winemaking team feels that the wines age best at a range of five to twelve years. "
8,Terrin Petit Vellostier Sanca Pupantino 2009, Red Wine , Other Red Blends ,  from Spain ," Deep ruby color.  It has a rich, spicy nose of blackberries, cherries, cedar and slight mint. It has a wonderful finesse on the palate and is nicely balanced with fresh acidity.  Pairs well with red meat, poultry, white meats and cheeses. "
9,Loseis Hill Yubrbell Cabernet Sauvignon 2000, Red Wine , Cabernet Sauvignon ,"  from Napa Valley, California ",", but can't wait to drink.  Velvety and soft tannins.  The deep purple/black color indicates excellent extract and a rich, concentrated wine.  The nose is filled with cassis, black cherries, plums, and chocolate.  On the palate, the wine is full-bodied, soft, rich, and intense with loads of black fruit, black pepper, and a hint of truffle.  It is a perfect example of why this varietal should be grown in the Napa Valley.  The wine is an example of why we are turning heads in Napa Valley and why some of the world's greatest Cabernets are produced from this region in the Napa Valley.  This Cabernet will continue to improve in the bottle for several more years."
10,Gigma Filt Oldra-Seliebluna Syrah 2012, Red Wine , Syrah/Shiraz ,"  from Walla Walla Valley, Columbia Valley, Washington "," The 2012 Syrah is a full-bodied wine with a deep purple color. Aromas of cassis, dark cherry, smoked meat, smoked meat, blueberry pie, dried herbs, violets and white pepper. On the palate, flavors of blackberries, black cherries, black pepper, smoked meat, cured meats and a touch of pepper. The wine is broad and opulent with round tannins and a long finish. "
11,Grapurosso Cabernet Sauvigoz 2015, Red Wine , Cabernet Sauvignon ,"  from Tuscany, Italy ","  Pairs well with grilled steak, roasted lamb, and aged cheeses. We have the privilege to drink the wine of any given vintage without the use of any oak barrels. We choose only the best grapes from our vineyards in the most prestigious areas, then destalk them, gently pressed them and serve them cold in stainless steel tanks. The wine is then matured for 14 months in French oak barrels and 18 months in stainless steel tanks before bottling."
12,La Felbyades Batrelo Genecorie Semilo Blanco 2013, White Wine , Other White Blends ,"  from Tuscany, Italy "," It is a delicious accompaniment to seafood appetizers, salads, fish, and simple pastas. Franciscan Estate Cabernet Sauvignon 2011  "
13,Junzos Proos Toso Suttenleve 2014, Red Wine , Other Red Blends ,"  from Mendoza, Argentina "," Blend: 52% Malbec, 20% Cabernet Franc, 16% Syrah, 4% Cabernet Sauvignon, 4% Petit Verdot Couvet Brut (pronounced comb) is a blend of 50% old-vine Cabernet Sauvignon, 4% Merlot, 6% Cabernet Sauvignon, 2% Petit Verdot, 2% Malbec "
14,Lyano Bavia Selecanola 1999, Red Wine , Tempranillo ,"  from Ribera del Duero, Spain ","  and winemaking techniques were used with whole cluster pressing, destemming, low yield fermentation, extended maceration, limited pumping over, limited racking, and ageing in French oak barrels. The wine is a concentrated dark purple with a full bodied, rich flavour palate. The tannins are soft and elegant, with a sweet fruit sensation on the palate and a long finish. The wine has a dark purple core with light garnet hues. It is full bodied, elegant and complex with a pronounced structure of very fine tannins. It has a complex bouquet with a great finesse. The aftertaste is very long and persistent. "
15,Ctos du Chella Le Gradet) Reservo Sppo 2003, Red Wine , Other Red Blends ,"  from Tuscany, Italy "," LeGradet is a blend of the two varietals with an emphasis on Cabernet Sauvignon, which produces wines with structure and depth, and Cabernet Franc, which imparts additional finesse."
