,name,tokens,output,error_msg
0,Piul Bothen Cabernet Sauvignon 2014,"tensor([[50257,   220, 50258, 13993,   377, 18579,   831, 15976,  1142,   316,
         23167,    85,   570,   261,  1946,   220, 50259,   220, 50260,   366,
          7738, 20447,     1,   220, 50261,   366,    34,   397,  1142,   316,
         23167,    85,   570,   261,     1,   220, 50262,   366,   422,  5694,
          8545,    11,  3442,     1,   220, 50263,   366, 29744, 36167,   316,
           287,  3124,    11,   428,  8237,  4394, 19731,   292,   286, 38973,
            11,  2042, 23612,    11,   290,  2042,  8887,    13, 33026,   669,
         10162, 19731,   292,   351, 17361,   286, 29036,    11, 35075,  2042,
         20853,   290,   458,  5700,    11,   290, 11800,   284,  7833, 26210,
            13,   383,  5422, 36410,   318,  5527,   290,  2835,    11,   351,
          3313,  2584,   256,  1236,  1040,   290, 28528,    11,  6016,  7408,
           414,    13,   770,  8237,   318,   845,  3164,   540,   783,    11,
           290,   481, 45164,   880,   329,   362,   284,   513,   812,    13,
           632,   318,   257,  1049, 15185,   329, 34240, 26320,    11, 30490,
         13701,    11,   290, 30490, 13701,   351,  8278,  6874,   290, 47796,
         42890,  9891,    13, 35557,   880, 45550,   526,   220, 50256, 50257]],
       device='cuda:0')"," [prompt] Piul Bothen Cabernet Sauvignon 2014 [response] [category_1] ""Red Wine"" [category_2] ""Cabernet Sauvignon"" [origin] "" from Central Coast, California"" [description] ""Deep garnet in color, this wine offers aromas of raspberry, black cherry, and black tea. Flavors mirror aromas with flavors of ripe, juicy blackberries and plums, and subtle toasty oak. The mouthfeel is rich and round, with silky tannins and lingering, bright acidity. This wine is very approachable now, and will cellar well for 2 to 3 years. It is a great companion for grilled steak, roasted vegetables, and roasted vegetables with rosemary and Parmesan cheese. Serve well chilled."" ",None
1,Seacuscini Resantzass 2015,"tensor([[50257,   220, 50258, 13993,   377, 18579,   831, 15976,  1142,   316,
         23167,    85,   570,   261,  1946,   220, 50259,   220, 50260,   366,
          7738, 20447,     1,   220, 50261,   366,    34,   397,  1142,   316,
         23167,    85,   570,   261,     1,   220, 50262,   366,   422,  5694,
          8545,    11,  3442,     1,   220, 50263,   366, 29744, 36167,   316,
           287,  3124,    11,   428,  8237,  4394, 19731,   292,   286, 38973,
            11,  2042, 23612,    11,   290,  2042,  8887,    13, 33026,   669,
         10162, 19731,   292,   351, 17361,   286, 29036,    11, 35075,  2042,
         20853,   290,   458,  5700,    11,   290, 11800,   284,  7833, 26210,
            13,   383,  5422, 36410,   318,  5527,   290,  2835,    11,   351,
          3313,  2584,   256,  1236,  1040,   290, 28528,    11,  6016,  7408,
           414,    13,   770,  8237,   318,   845,  3164,   540,   783,    11,
           290,   481, 45164,   880,   329,   362,   284,   513,   812,    13,
           632,   318,   257,  1049, 15185,   329, 34240, 26320,    11, 30490,
         13701,    11,   290, 30490, 13701,   351,  8278,  6874,   290, 47796,
         42890,  9891,    13, 35557,   880, 45550,   526,   220, 50256, 50257]],
       device='cuda:0')",crashed,"CUDA error: CUBLAS_STATUS_EXECUTION_FAILED when calling `cublasGemmEx( handle, opa, opb, m, n, k, &falpha, a, CUDA_R_16F, lda, b, CUDA_R_16F, ldb, &fbeta, c, CUDA_R_16F, ldc, CUDA_R_32F, CUBLAS_GEMM_DFALT_TENSOR_OP)`"
2,Alpanena Vriestioge 2016,"tensor([[50257,   220, 50258, 13993,   377, 18579,   831, 15976,  1142,   316,
         23167,    85,   570,   261,  1946,   220, 50259,   220, 50260,   366,
          7738, 20447,     1,   220, 50261,   366,    34,   397,  1142,   316,
         23167,    85,   570,   261,     1,   220, 50262,   366,   422,  5694,
          8545,    11,  3442,     1,   220, 50263,   366, 29744, 36167,   316,
           287,  3124,    11,   428,  8237,  4394, 19731,   292,   286, 38973,
            11,  2042, 23612,    11,   290,  2042,  8887,    13, 33026,   669,
         10162, 19731,   292,   351, 17361,   286, 29036,    11, 35075,  2042,
         20853,   290,   458,  5700,    11,   290, 11800,   284,  7833, 26210,
            13,   383,  5422, 36410,   318,  5527,   290,  2835,    11,   351,
          3313,  2584,   256,  1236,  1040,   290, 28528,    11,  6016,  7408,
           414,    13,   770,  8237,   318,   845,  3164,   540,   783,    11,
           290,   481, 45164,   880,   329,   362,   284,   513,   812,    13,
           632,   318,   257,  1049, 15185,   329, 34240, 26320,    11, 30490,
         13701,    11,   290, 30490, 13701,   351,  8278,  6874,   290, 47796,
         42890,  9891,    13, 35557,   880, 45550,   526,   220, 50256, 50257]],
       device='cuda:0')",crashed,"CUDA error: CUBLAS_STATUS_EXECUTION_FAILED when calling `cublasGemmEx( handle, opa, opb, m, n, k, &falpha, a, CUDA_R_16F, lda, b, CUDA_R_16F, ldb, &fbeta, c, CUDA_R_16F, ldc, CUDA_R_32F, CUBLAS_GEMM_DFALT_TENSOR_OP)`"
3,Sanmedarbecer Edena Cabernet,"tensor([[50257,   220, 50258, 13993,   377, 18579,   831, 15976,  1142,   316,
         23167,    85,   570,   261,  1946,   220, 50259,   220, 50260,   366,
          7738, 20447,     1,   220, 50261,   366,    34,   397,  1142,   316,
         23167,    85,   570,   261,     1,   220, 50262,   366,   422,  5694,
          8545,    11,  3442,     1,   220, 50263,   366, 29744, 36167,   316,
           287,  3124,    11,   428,  8237,  4394, 19731,   292,   286, 38973,
            11,  2042, 23612,    11,   290,  2042,  8887,    13, 33026,   669,
         10162, 19731,   292,   351, 17361,   286, 29036,    11, 35075,  2042,
         20853,   290,   458,  5700,    11,   290, 11800,   284,  7833, 26210,
            13,   383,  5422, 36410,   318,  5527,   290,  2835,    11,   351,
          3313,  2584,   256,  1236,  1040,   290, 28528,    11,  6016,  7408,
           414,    13,   770,  8237,   318,   845,  3164,   540,   783,    11,
           290,   481, 45164,   880,   329,   362,   284,   513,   812,    13,
           632,   318,   257,  1049, 15185,   329, 34240, 26320,    11, 30490,
         13701,    11,   290, 30490, 13701,   351,  8278,  6874,   290, 47796,
         42890,  9891,    13, 35557,   880, 45550,   526,   220, 50256, 50257]],
       device='cuda:0')",crashed,"CUDA error: CUBLAS_STATUS_EXECUTION_FAILED when calling `cublasGemmEx( handle, opa, opb, m, n, k, &falpha, a, CUDA_R_16F, lda, b, CUDA_R_16F, ldb, &fbeta, c, CUDA_R_16F, ldc, CUDA_R_32F, CUBLAS_GEMM_DFALT_TENSOR_OP)`"
4,Sauvignon 2001,"tensor([[50257,   220, 50258, 13993,   377, 18579,   831, 15976,  1142,   316,
         23167,    85,   570,   261,  1946,   220, 50259,   220, 50260,   366,
          7738, 20447,     1,   220, 50261,   366,    34,   397,  1142,   316,
         23167,    85,   570,   261,     1,   220, 50262,   366,   422,  5694,
          8545,    11,  3442,     1,   220, 50263,   366, 29744, 36167,   316,
           287,  3124,    11,   428,  8237,  4394, 19731,   292,   286, 38973,
            11,  2042, 23612,    11,   290,  2042,  8887,    13, 33026,   669,
         10162, 19731,   292,   351, 17361,   286, 29036,    11, 35075,  2042,
         20853,   290,   458,  5700,    11,   290, 11800,   284,  7833, 26210,
            13,   383,  5422, 36410,   318,  5527,   290,  2835,    11,   351,
          3313,  2584,   256,  1236,  1040,   290, 28528,    11,  6016,  7408,
           414,    13,   770,  8237,   318,   845,  3164,   540,   783,    11,
           290,   481, 45164,   880,   329,   362,   284,   513,   812,    13,
           632,   318,   257,  1049, 15185,   329, 34240, 26320,    11, 30490,
         13701,    11,   290, 30490, 13701,   351,  8278,  6874,   290, 47796,
         42890,  9891,    13, 35557,   880, 45550,   526,   220, 50256, 50257]],
       device='cuda:0')",crashed,"CUDA error: CUBLAS_STATUS_EXECUTION_FAILED when calling `cublasGemmEx( handle, opa, opb, m, n, k, &falpha, a, CUDA_R_16F, lda, b, CUDA_R_16F, ldb, &fbeta, c, CUDA_R_16F, ldc, CUDA_R_32F, CUBLAS_GEMM_DFALT_TENSOR_OP)`"
5,Favilley Sonneres Sonomon Stazizas-Santehine 2008,"tensor([[50257,   220, 50258, 34395,   346,  1636,  6295,   710,   411,  6295,
         16698,   520,  1031,   528,   292,    12,    50, 12427,    71,   500,
          3648,   220, 50259,   220, 50260,   366, 12256, 20447,     1,   220,
         50261,   366,  6395,  2635,  1086,  2412,     1,   220, 50262,   366,
           422,  6295,  6086,  3418,    11,  3442,     1,   220, 50263,   366,
          1212,   318,   257,  6016,   290,  4713,  8237,   351, 19731,   292,
           286,  4713,    12, 41891, 35405,   290, 47267,   893, 29687,   351,
           257,  9254,   286, 19690,  8234,    13, 33026,   669, 10162, 19731,
           292,   351,   257,  3731,  9254,   286, 25721,   290, 18352,  6805,
            13,   383,  5422, 36410,   318,  2705,   290,  1336,   286, 35075,
          8234,   351,   880,    12, 27753,  7408,   414,    13,   770,   318,
           257,  8237,   286,  1049,  4144,  1799,   783,   290,   481, 45164,
           880,   329,   513,   284,   604,   812,    13,   383,  8237,   318,
           257,  1049,  2057, 15185,    13, 35557,  4622, 45550,   319,  5814,
          1528,    11,  2592,   618,   340,   318,  4692,  2354,   526,   220,
         50256, 50257]], device='cuda:0')"," [prompt] Favilley Sonneres Sonomon Stazizas-Santehine 2008 [response] [category_1] ""White Wine"" [category_2] ""Other White Blends"" [origin] "" from Sonoma County, California"" [description] ""This is a bright and fresh wine with aromas of fresh-picked citrus and honeysuckle with a hint of tropical fruit. Flavors mirror aromas with a slight hint of spice and mineral components. The mouthfeel is soft and full of juicy fruit with well-balanced acidity. This is a wine of great drinkability now and will cellar well for 3 to 4 years. The wine is a great food companion. Serve slightly chilled on warm days, especially when it is cold outside."" ",None
6,ERitajas Katiano 1999,"tensor([[50257,   220, 50258, 34395,   346,  1636,  6295,   710,   411,  6295,
         16698,   520,  1031,   528,   292,    12,    50, 12427,    71,   500,
          3648,   220, 50259,   220, 50260,   366, 12256, 20447,     1,   220,
         50261,   366,  6395,  2635,  1086,  2412,     1,   220, 50262,   366,
           422,  6295,  6086,  3418,    11,  3442,     1,   220, 50263,   366,
          1212,   318,   257,  6016,   290,  4713,  8237,   351, 19731,   292,
           286,  4713,    12, 41891, 35405,   290, 47267,   893, 29687,   351,
           257,  9254,   286, 19690,  8234,    13, 33026,   669, 10162, 19731,
           292,   351,   257,  3731,  9254,   286, 25721,   290, 18352,  6805,
            13,   383,  5422, 36410,   318,  2705,   290,  1336,   286, 35075,
          8234,   351,   880,    12, 27753,  7408,   414,    13,   770,   318,
           257,  8237,   286,  1049,  4144,  1799,   783,   290,   481, 45164,
           880,   329,   513,   284,   604,   812,    13,   383,  8237,   318,
           257,  1049,  2057, 15185,    13, 35557,  4622, 45550,   319,  5814,
          1528,    11,  2592,   618,   340,   318,  4692,  2354,   526,   220,
         50256, 50257]], device='cuda:0')",crashed,"CUDA error: CUBLAS_STATUS_EXECUTION_FAILED when calling `cublasGemmEx( handle, opa, opb, m, n, k, &falpha, a, CUDA_R_16F, lda, b, CUDA_R_16F, ldb, &fbeta, c, CUDA_R_16F, ldc, CUDA_R_32F, CUBLAS_GEMM_DFALT_TENSOR_OP)`"
7,Tantorulta Pichandine Chardonnay 2002,"tensor([[50257,   220, 50258, 44116,   273,   586,    64,   350,   488,   392,
           500,   609, 19917,    77,   323,  6244,   220, 50259,   220, 50260,
           366, 12256, 20447,     1,   220, 50261,   609, 19917,    77,   323,
           220, 50262,   366,   422, 17456,     1,   220, 50263,   366,    47,
           488,   392,   500,   609, 19917,    77,   323,   318,   281,  6275,
         10600,  3681,   284, 26296, 16759,   351,  8566, 10746,    11, 34101,
            11,  2330,  6174,   290, 31473,    13,   220,   383,  8237,   635,
          2499,   880,   355,   281,   257,   525,   270,   361,    13,   220,
           632,   318,   281,  6275, 10600,  3681,   284,  2330, 50134,   351,
          8566, 50134,    11, 26296, 16759,   351,  1657, 50134,    11, 34101,
         16759,   351,  8566, 50134,   290,  1569,   282,   351,  1657, 50134,
           526,   220, 50256, 50257]], device='cuda:0')"," [prompt] Tantorulta Pichandine Chardonnay 2002 [response] [category_1] ""White Wine"" [category_2] Chardonnay [origin] "" from Chile"" [description] ""Pichandine Chardonnay is an excellent accompaniment to pasta dishes with cream sauce, poultry, white meat and seafood.  The wine also works well as an aperitif.  It is an excellent accompaniment to white sauces with cream sauces, pasta dishes with light sauces, poultry dishes with cream sauces and veal with light sauces."" ",None
8,Terrin Petit Vellostier Sanca Pupantino 2009,"tensor([[50257,   220, 50258,  3813, 12769,  4767,   270,   569,   695,   455,
           959,   311, 42124,   350,   929,   415,  2879,  3717,   220, 50259,
           220, 50260,   366,  7738, 20447,     1,   220, 50261,   366,    33,
         17531, 14644,  2297,  1086,  2412,     1,   220, 50262,   366,   422,
           309, 16241,  1092,    11,  8031,     1,   220, 50263,   366,  1212,
          8237,   318,   257,  4950, 36167,   316,  3124,    13,   317,   398,
           292,   389,  8157,    11,  4713,    11,   290,  3716,   351,  2266,
          8234,    11,  1090,  5250,    11,   290, 23612,    13, 33026,   669,
           389,  2835,    11,  2835,    11,   290,  7209,   351,   802,   293,
            11,   880,    12, 27753,   256,  1236,  1040,    13,   383,  5461,
           318,   890,    11, 15497,   290,   351,  6275,  7408,   414,   526,
           220, 50256, 50257]], device='cuda:0')"," [prompt] Terrin Petit Vellostier Sanca Pupantino 2009 [response] [category_1] ""Red Wine"" [category_2] ""Bordeaux Red Blends"" [origin] "" from Tuscany, Italy"" [description] ""This wine is a beautiful garnet color. Aromas are intense, fresh, and complex with red fruit, currant, and cherry. Flavors are round, round, and smooth with supple, well-balanced tannins. The finish is long, pleasant and with excellent acidity."" ",None
9,Loseis Hill Yubrbell Cabernet Sauvignon 2000,"tensor([[50257,   220, 50258, 44927,   271,  3327,   575,   549,    81,  7923,
         15976,  1142,   316, 23167,    85,   570,   261,  4751,   220, 50259,
           220, 50260,   366,  7738, 20447,     1,   220, 50261,   366,    34,
           397,  1142,   316, 23167,    85,   570,   261,     1,   220, 50262,
           366,   422, 14332,    64,  6916,    11,  3442,     1,   220, 50263,
           366,  1212, 15976,  1142,   316,   318,   281, 11660,  8237,    13,
           383,  9686,  4394,  6016,  2266,   290,  2042, 15921,   351, 38838,
         19731,   292,   290, 42160,   286,  6701, 28917,    11, 16858,   290,
           269, 44226,    13,   383, 44100,  9808,   351,  4713,    11, 29036,
           275,  6996,  8234,    11,   257,  3638,   286, 26210,   290,   257,
          3638,   286,  6029,    11,   895, 31375, 26210,    13,   383,   256,
          1236,  1040,   389, 16576, 12974,   416,   262, 32073,   286,   262,
          8234,   290,  2148,   257, 28528,  5461,   526,   220, 50256, 50257]],
       device='cuda:0')"," [prompt] Loseis Hill Yubrbell Cabernet Sauvignon 2000 [response] [category_1] ""Red Wine"" [category_2] ""Cabernet Sauvignon"" [origin] "" from Napa Valley, California"" [description] ""This Cabernet is an outstanding wine. The nose offers bright red and black fruits with floral aromas and nuances of nutmeg, vanilla and cedar. The palate opens with fresh, ripe berry fruit, a touch of oak and a touch of sweet, smoky oak. The tannins are nicely balanced by the sweetness of the fruit and provide a lingering finish."" ",None
