name,score
Joseph Carr Reveliste Cinsault 2013 ,0.7
Carol Shelton Roche TBredi 2016 ,0.696969697
Finca Bolgheri Pinot Grigio 2018 ,0.766666667
Domaine de Cristict Chardonnay 2016 ,0.842105263
Domaine Dujac Fils &amp; Pere Chambolle Rouge 2013 ,0.732824427
Tenuta Sant'Antonio Barolo Cannubi (1.5 Liter Magnum) 2015 ,0.765217391
Cavit Alta Luna Pinot Noir 2016 ,0.848484848
Philipponnat Royale Reserve 2007 ,0.878787879
Bodegas Lan Culmenet Chardonnay 2017 ,0.741935484
Neil Ellis Groeniel Rose ,0.595744681
Domaine le Couroulu Chigny Tufferster Altenberg Grand Cru 2014 ,0.610169492
Chateau Corbin (Futures Pre-Sale) 2016 ,1
Belle Ambiance Rose 2016 ,0.814814815
Domaine Combier Centenairel Savigny Les Beaune Blanc 2015 ,0.828828829
Kunde Century Vines Zinfandel 2016 ,0.871794872
Blue Rock Beckstoffer To Kalon Cabernet Sauvignon 2001 ,0.862385321
Terredore Estate GSM 2017 ,0.705882353
Domaine Comtesse de lubius Oloroso Sherry ,0.581395349
Vina Cobos Bramare Uconaneve Vineyard Zinfandel 2015 ,0.767676768
MELI Dueno di Arcana Colchegliano 2016 ,0.684210526
Benjamin Romeo Con Hermouth Rouge (1.5 Liter Magnum) 2015 ,0.684684685
Lavau Charlotte 2015 ,0.75
Frog's Leap Pink 2015 ,0.954545455
Peay Vineyards Fairyne Pinot Noir 2014 ,0.823529412
Catena Gavi Blanc 2013 ,0.745098039
Candoni Prosecco Brut ,0.871794872
Chasseur Sauvignon Blanc 2017 ,0.877192982
Sklmann Vineyards Estate Zinfandel 2012 ,0.833333333
Domaine Joseph Kanitieres 2015 ,0.701754386
Villa Portuga Pinot Noir 2016 ,0.842105263
VieVie de Urzain Old Vine Grenache 2014 ,0.714285714
WildAire Open Claim Vineyard Cabernet Sauvignon 2014 ,0.816326531
Klein Constantia Sauvignon Blanc 2016 ,1
Estancia Reserve Meritage Reserve Merlot 2013 ,0.814814815
Fullerton Wines Pinot Noir/Tand Mochine (375ML half-bottle) 2015 ,0.761061947
Sacred Hill Chardonnay 2016 ,0.964285714
Swerch Vineyards Estate Pinot Noir 2016 ,0.85
Stolpman Vineyards Hillt Pinot Noir 2017 ,0.820512821
Chateau Belgrave 2015 ,1
Poema Cava Brut 2014 ,0.864864865
Bouchard Perer White Blend 2015 ,0.678571429
Weingut Hills Reserve Pinot Noir 2016 ,0.826666667
Bodegas Tradicion Oakville Cabernet Franc 2015 ,0.769230769
Chateau des Jugues Premier Cru 2015 ,0.717391304
Val de Meursault Chinon 2016 ,0.642857143
No Curfew by Amici Cabernet Sauvignon 2016 ,0.976744186
Bindi Winegrowers Envesport Cuvee Chardonnay 2015 ,0.729166667
Badia a Coltibuono Cetamura Pinot Noir 2012 ,0.870588235
